
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
-----------------------------------------------------------------------------------------------------
     1     0.000000      0.000000       0.000000   ImmTr2           0     1010011100110100110011000000000
     2     0.000000      0.000000       0.000000   ImmTr1           0     0010011101110100100011000000000
     3     0.000000      1.000000       1.000000   Etimer22         0     0010011111110100000011000000000
     4     0.000000      1.000000       1.000000   Etimer21         0     0010011111110100000011000000010
     5     1.000000      1.000000       2.000000   Etimer21         0     0010011111110100000011000001010
     6     1.000000      1.000000       2.000000   Etimer22         0     0010011111110100000011000002010
     7     2.000000      1.000000       3.000000   Etimer21         0     0010011111110100000011000002020
     8     2.000000      1.000000       3.000000   Etimer22         0     0010011111110100000011000003020
     9     3.000000      1.000000       4.000000   Etimer22         0     0010011111110100000011000003030
    10     3.000000      1.000000       4.000000   Etimer21         0     0010011111110100000011000003040
    11     4.000000      1.000000       5.000000   Etimer22         0     0010011111110100000011000004040
    12     4.000000      1.000000       5.000000   Etimer21         0     0010011111110100000011000004050
    13     5.000000      1.000000       6.000000   Etimer21         0     0010011111110100000011000005050
    14     5.000000      1.000000       6.000000   Etimer22         0     0010011111110100000011000006050
    15     6.000000      1.000000       7.000000   Etimer22         0     0010011111110100000011000006060
    16     6.000000      1.000000       7.000000   Etimer21         0     0010011111110100000011000006070
    17     7.000000      1.000000       8.000000   Etimer22         0     0010011111110100000011000007070
    18     7.000000      1.000000       8.000000   Etimer21         0     0010011111110100000011000007080
    19     8.000000      1.000000       9.000000   Etimer21         0     0010011111110100000011000008080
    20     8.000000      1.000000       9.000000   Etimer22         0     0010011111110100000011000009080
    21     9.000000      1.000000      10.000000   Etimer22         0     0010011111110100000011000009090
    22     9.000000      1.000000      10.000000   Etimer21         0     00100111111101000000110000090(10)0
    23    10.000000      1.000000      11.000000   Etimer22         0     001001111111010000001100000(10)0(10)0
    24    10.000000      1.000000      11.000000   Etimer21         0     001001111111010000001100000(10)0(11)0
    25    11.000000      1.000000      12.000000   Etimer22         0     001001111111010000001100000(11)0(11)0
    26    11.000000      1.000000      12.000000   Etimer21         0     001001111111010000001100000(11)0(12)0
    27    12.000000      1.000000      13.000000   Etimer21         0     001001111111010000001100000(12)0(12)0
    28    12.000000      1.000000      13.000000   Etimer22         0     001001111111010000001100000(13)0(12)0
    29    13.000000      1.000000      14.000000   Etimer22         0     001001111111010000001100000(13)0(13)0
    30    13.000000      1.000000      14.000000   Etimer21         0     001001111111010000001100000(13)0(14)0
    31    14.000000      1.000000      15.000000   Etimer22         0     001001111111010000001100000(14)0(14)0
    32    14.000000      1.000000      15.000000   Etimer21         0     001001111111010000001100000(14)0(15)0
    33    15.000000      1.000000      16.000000   Etimer22         0     001001111111010000001100000(15)0(15)0
