
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
-----------------------------------------------------------------------------------------------------
     1     0.000000      0.000000       0.000000   ImmTr1           0     0021121121310011100110000000001100001111100110000000000000000
     2     0.000000      1.000000       1.000000   Etimer38         0     0021121121310011101110000000001100001111100100000000000000000
     3     0.000000      1.000000       1.000000   Etimer41         0     0021121121310011101110000000001100001111100100000010000000000
     4     0.000000      1.000000       1.000000   Etimer44         0     0021121121310011101110000000001100001111100100000010000100000
     5     0.000000      1.000000       1.000000   Etimer41         0     0021121121310011101110000000001100001111100100000011000100000
     6     0.000000      1.000000       1.000000   Etimer37         0     0021121121310011101110000000001100001111100100000111000100000
     7     0.000000      1.000000       1.000000   Etimer44         0     0021121121310011101110000000001100001111100100001111000100000
     8     0.000000      1.000000       1.000000   Etimer39         0     0021121121310011101110000000001100001111100100001111000100010
     9     0.000000      1.000000       1.000000   Etimer40         0     0021121121310011101110000000001100001111100100001111010100010
    10     1.000000      1.000000       2.000000   Etimer38         0     0021121121310011101110000000001100001111100100001111011100010
    11     1.000000      1.000000       2.000000   Etimer44         0     0021121121310011101110000000001100001111100100001121011100010
    12     1.000000      1.000000       2.000000   Etimer37         0     0021121121310011101110000000001100001111100100001121011100020
    13     1.000000      1.000000       2.000000   Etimer40         0     0021121121310011101110000000001100001111100100002121011100020
    14     1.000000      1.000000       2.000000   Etimer41         0     0021121121310011101110000000001100001111100100002121012100020
    15     1.000000      1.000000       2.000000   Etimer41         0     0021121121310011101110000000001100001111100100002221012100020
    16     1.000000      1.000000       2.000000   Etimer39         0     0021121121310011101110000000001100001111100100002221012200020
    17     1.000000      1.000000       2.000000   Etimer44         0     0021121121310011101110000000001100001111100100002221022200020
    18     2.000000      1.000000       3.000000   Etimer39         0     0021121121310011101110000000001100001111100100002222022200020
    19     2.000000      1.000000       3.000000   Etimer41         0     0021121121310011101110000000001100001111100100002222032200020
    20     2.000000      1.000000       3.000000   Etimer41         0     0021121121310011101110000000001100001111100100002322032200020
    21     2.000000      1.000000       3.000000   Etimer44         0     0021121121310011101110000000001100001111100100002322032300020
    22     2.000000      1.000000       3.000000   Etimer38         0     0021121121310011101110000000001100001111100100002322032300030
    23     2.000000      1.000000       3.000000   Etimer40         0     0021121121310011101110000000001100001111100100002332032300030
